Epoch	Training_time	Train_Loss	Train_Acc	Val_ACC	Tst_ACC
37	0.0006570816040039062	0.4467061161994934	0.9583333333333334	0.728	0.729
38	0.0006992816925048828	0.42859891057014465	0.9583333333333334	0.718	0.708
39	0.0006668567657470703	0.41580501198768616	0.95	0.696	0.69
40	0.0006535053253173828	0.40601208806037903	0.975	0.734	0.723
41	0.0007009506225585938	0.379921019077301	0.9666666666666667	0.696	0.711
42	0.0006668567657470703	0.3636498749256134	0.9666666666666667	0.718	0.714
43	0.0006604194641113281	0.3528004288673401	0.975	0.718	0.719
44	0.0006535053253173828	0.3329049050807953	0.9583333333333334	0.704	0.697
45	0.0006580352783203125	0.3217800259590149	0.9583333333333334	0.706	0.724
46	0.0006737709045410156	0.30738183856010437	0.975	0.724	0.729
47	0.0006587505340576172	0.30031412839889526	0.9583333333333334	0.696	0.69
48	0.0006594657897949219	0.2826726734638214	0.975	0.704	0.725
49	0.0007472038269042969	0.27018555998802185	0.9666666666666667	0.712	0.72
50	0.0007627010345458984	0.2608106732368469	0.9833333333333333	0.71	0.707
51	0.0007505416870117188	0.2490384429693222	0.975	0.694	0.708
52	0.0007388591766357422	0.24627785384655	0.975	0.718	0.718
53	0.00075531005859375	0.3554329574108124	0.9166666666666666	0.608	0.648
54	0.0007495880126953125	0.5755650401115417	0.8166666666666667	0.55	0.51
55	0.0006623268127441406	0.28054478764533997	0.9666666666666667	0.624	0.633
56	0.0006499290466308594	0.3825063109397888	0.8583333333333333	0.592	0.625
57	0.0006546974182128906	0.24185781180858612	0.95	0.69	0.699
58	0.0006577968597412109	0.2931358516216278	0.9416666666666667	0.646	0.619
59	0.0006492137908935547	0.25162577629089355	0.9666666666666667	0.668	0.648
60	0.0006551742553710938	0.217345729470253	0.9833333333333333	0.654	0.688
61	0.0006890296936035156	0.2484608292579651	0.9583333333333334	0.66	0.679
62	0.00081634521484375	0.21511141955852509	0.9583333333333334	0.692	0.71
63	0.0007343292236328125	0.19673576951026917	0.975	0.728	0.711
64	0.0021517276763916016	0.22120748460292816	0.9583333333333334	0.692	0.683
65	0.0006721019744873047	0.19381245970726013	0.975	0.696	0.7
66	0.0024557113647460938	0.20540069043636322	0.9916666666666667	0.684	0.689
67	0.0007979869842529297	0.19621995091438293	0.9833333333333333	0.688	0.699
68	0.0007154941558837891	0.19188451766967773	0.975	0.71	0.712
69	0.002522706985473633	0.19485990703105927	0.975	0.706	0.692
70	0.0019147396087646484	0.18686223030090332	0.975	0.716	0.723
1	0.0022459030151367188	1.8355482816696167	0.20833333333333334	0.14	0.14
2	0.0008912086486816406	13.070710182189941	0.16666666666666666	0.188	0.169
3	0.0008609294891357422	7.201402187347412	0.325	0.268	0.273
4	0.0023658275604248047	3.8636624813079834	0.23333333333333334	0.238	0.191
5	0.0007104873657226562	4.695336818695068	0.30833333333333335	0.256	0.274
6	0.0006728172302246094	5.03497838973999	0.325	0.132	0.129
7	0.002656221389770508	2.948223352432251	0.43333333333333335	0.178	0.205
8	0.0007698535919189453	2.5181171894073486	0.2833333333333333	0.15	0.174
9	0.0006918907165527344	2.5762455463409424	0.38333333333333336	0.362	0.367
10	0.0008857250213623047	2.0995430946350098	0.3333333333333333	0.28	0.279
11	0.0008504390716552734	1.063507080078125	0.5583333333333333	0.41	0.327
12	0.0007338523864746094	1.3305003643035889	0.375	0.246	0.203
13	0.0007369518280029297	1.1568801403045654	0.575	0.278	0.254
14	0.0007092952728271484	1.0053598880767822	0.6083333333333333	0.278	0.306
15	0.0007505416870117188	0.8095496296882629	0.675	0.32	0.346
16	0.0006706714630126953	0.6765304803848267	0.7833333333333333	0.506	0.555
17	0.0007207393646240234	0.7258971929550171	0.7416666666666667	0.498	0.504
18	0.0006721019744873047	0.7098041772842407	0.7166666666666667	0.494	0.496
19	0.0006630420684814453	0.5502124428749084	0.875	0.582	0.568
20	0.0007123947143554688	0.47469356656074524	0.9166666666666666	0.604	0.565
21	0.0007989406585693359	0.5229886770248413	0.8583333333333333	0.56	0.511
22	0.0006699562072753906	0.49010786414146423	0.9083333333333333	0.57	0.533
23	0.0006513595581054688	0.41586506366729736	0.95	0.676	0.67
24	0.0007069110870361328	0.4264391362667084	0.9416666666666667	0.668	0.665
25	0.0006680488586425781	0.4268331527709961	0.925	0.66	0.678
26	0.0006546974182128906	0.4064401388168335	0.925	0.698	0.71
27	0.0006928443908691406	0.3928026258945465	0.9416666666666667	0.68	0.715
28	0.0006563663482666016	0.3853904902935028	0.9583333333333334	0.698	0.692
29	0.0008113384246826172	0.3876951336860657	0.95	0.686	0.669
30	0.0006802082061767578	0.37857702374458313	0.9583333333333334	0.708	0.704
31	0.0007164478302001953	0.3792906105518341	0.9583333333333334	0.726	0.726
32	0.0008482933044433594	0.3722448945045471	0.9666666666666667	0.718	0.741
33	0.0008008480072021484	0.37209880352020264	0.9666666666666667	0.704	0.708
34	0.0008959770202636719	0.37107089161872864	0.9583333333333334	0.694	0.709
35	0.0008652210235595703	0.3644771873950958	0.975	0.714	0.719
36	0.0008592605590820312	0.3625354468822479	0.9583333333333334	0.718	0.728
37	0.0008649826049804688	0.3565770089626312	0.9666666666666667	0.72	0.727
38	0.0007779598236083984	0.3502011299133301	0.9666666666666667	0.722	0.718
39	0.0008668899536132812	0.341468870639801	0.9666666666666667	0.708	0.718
40	0.0008766651153564453	0.3353654742240906	0.9833333333333333	0.708	0.73
41	0.0007941722869873047	0.3345527946949005	0.9583333333333334	0.702	0.697
42	0.0007984638214111328	0.3263113796710968	0.9416666666666667	0.714	0.717
43	0.0007789134979248047	0.3138694763183594	0.9666666666666667	0.698	0.711
44	0.0008554458618164062	0.32110902667045593	0.9583333333333334	0.692	0.7
45	0.0008664131164550781	0.3010801374912262	0.975	0.702	0.691
46	0.0008697509765625	0.2817350924015045	0.975	0.714	0.734
47	0.0008897781372070312	0.2833620607852936	0.9666666666666667	0.686	0.711
48	0.0008652210235595703	0.2677956819534302	0.975	0.706	0.692
49	0.000858306884765625	0.2586030960083008	0.9666666666666667	0.714	0.715
50	0.000812530517578125	0.25500044226646423	0.975	0.686	0.717
51	0.0007793903350830078	0.23955516517162323	0.975	0.702	0.723
